Year,Region,Poverty Gap,Poverty Line
1996,Albania,0.1,$2.15
2002,Albania,0.19,$2.15
2005,Albania,0.09,$2.15
2008,Albania,0.04,$2.15
2012,Albania,0.13,$2.15
2014,Albania,0.14,$2.15
2015,Albania,0.01,$2.15
2016,Albania,0.01,$2.15
2016,Albania,2.21,$2.15
2017,Albania,0.04,$2.15
2017,Albania,1.8,$2.15
2018,Albania,0.01,$2.15
2018,Albania,1.13,$2.15
2019,Albania,0,$2.15
2020,Albania,0,$2.15
1988,Algeria,0.89,$2.15
1995,Algeria,1.14,$2.15
2011,Algeria,0.15,$2.15
2000,Angola,9.14,$2.15
2008,Angola,4.06,$2.15
2018,Angola,11.93,$2.15
1980,Argentina,0.18,$2.15
1986,Argentina,1.11,$2.15
1987,Argentina,0.89,$2.15
1991,Argentina,0.64,$2.15
1992,Argentina,1.11,$2.15
1993,Argentina,1.16,$2.15
1994,Argentina,1.39,$2.15
1995,Argentina,2.2,$2.15
1996,Argentina,2.74,$2.15
1997,Argentina,2.2,$2.15
1998,Argentina,2.08,$2.15
1999,Argentina,2.37,$2.15
2000,Argentina,2.71,$2.15
2001,Argentina,4.53,$2.15
2002,Argentina,4.87,$2.15
2003,Argentina,1.94,$2.15
2004,Argentina,1.26,$2.15
2005,Argentina,0.9,$2.15
2006,Argentina,0.8,$2.15
2007,Argentina,0.66,$2.15
2008,Argentina,0.61,$2.15
2009,Argentina,0.53,$2.15
2010,Argentina,0.3,$2.15
2011,Argentina,0.29,$2.15
2012,Argentina,0.3,$2.15
2013,Argentina,0.28,$2.15
2014,Argentina,0.27,$2.15
2016,Argentina,0.27,$2.15
2017,Argentina,0.21,$2.15
2018,Argentina,0.3,$2.15
2019,Argentina,0.32,$2.15
2020,Argentina,0.33,$2.15
2021,Argentina,0.39,$2.15
1996,Armenia,3.49,$2.15
1999,Armenia,2.83,$2.15
2001,Armenia,3.01,$2.15
2002,Armenia,2.11,$2.15
2003,Armenia,1.15,$2.15
2004,Armenia,1.23,$2.15
2005,Armenia,0.6,$2.15
2006,Armenia,0.32,$2.15
2007,Armenia,0.28,$2.15
2008,Armenia,0.19,$2.15
2009,Armenia,0.2,$2.15
2010,Armenia,0.15,$2.15
2011,Armenia,0.19,$2.15
2012,Armenia,0.16,$2.15
2013,Armenia,0.34,$2.15
2014,Armenia,0.22,$2.15
2015,Armenia,0.21,$2.15
2016,Armenia,0.15,$2.15
2017,Armenia,0.13,$2.15
2018,Armenia,0.22,$2.15
2019,Armenia,0.12,$2.15
2020,Armenia,0.06,$2.15
2021,Armenia,0.08,$2.15
1981,Australia,0.49,$2.15
1985,Australia,0.58,$2.15
1989,Australia,0.45,$2.15
1995,Australia,0.62,$2.15
2001,Australia,0.62,$2.15
2003,Australia,0.76,$2.15
2004,Australia,0.45,$2.15
2008,Australia,0.31,$2.15
2010,Australia,0.3,$2.15
2014,Australia,0.37,$2.15
2016,Australia,0.31,$2.15
2018,Australia,0.4,$2.15
1994,Austria,0.05,$2.15
1995,Austria,0,$2.15
1996,Austria,0,$2.15
1997,Austria,0.01,$2.15
1998,Austria,0.05,$2.15
1999,Austria,0.06,$2.15
2000,Austria,0,$2.15
2003,Austria,0.26,$2.15
2004,Austria,0.07,$2.15
2005,Austria,0.1,$2.15
2006,Austria,0.05,$2.15
2007,Austria,0.28,$2.15
2008,Austria,0.24,$2.15
2009,Austria,0.47,$2.15
2010,Austria,0.35,$2.15
2011,Austria,0.31,$2.15
2012,Austria,0.45,$2.15
2013,Austria,0.23,$2.15
2014,Austria,0.15,$2.15
2015,Austria,0.57,$2.15
2016,Austria,0.56,$2.15
2017,Austria,0.24,$2.15
2018,Austria,0.47,$2.15
2019,Austria,0.47,$2.15
2020,Austria,0.58,$2.15
1995,Azerbaijan,3.46,$2.15
2001,Azerbaijan,1.14,$2.15
2002,Azerbaijan,0.01,$2.15
2003,Azerbaijan,0,$2.15
2004,Azerbaijan,0,$2.15
2005,Azerbaijan,0,$2.15
1983,Bangladesh,9.33,$2.15
1985,Bangladesh,6.81,$2.15
1988,Bangladesh,10.44,$2.15
1991,Bangladesh,10.53,$2.15
1995,Bangladesh,7.52,$2.15
2000,Bangladesh,7.32,$2.15
2005,Bangladesh,4.57,$2.15
2010,Bangladesh,3.21,$2.15
2016,Bangladesh,2.42,$2.15
1993,Belarus,0.06,$2.15
1995,Belarus,0.48,$2.15
1998,Belarus,5.59,$2.15
1999,Belarus,5.18,$2.15
2000,Belarus,3.52,$2.15
2001,Belarus,1.53,$2.15
2002,Belarus,1.03,$2.15
2003,Belarus,0.79,$2.15
2004,Belarus,0.23,$2.15
2005,Belarus,0.17,$2.15
2006,Belarus,0.09,$2.15
2007,Belarus,0.03,$2.15
2008,Belarus,0.01,$2.15
2009,Belarus,0.02,$2.15
2010,Belarus,0,$2.15
2011,Belarus,0,$2.15
2012,Belarus,0,$2.15
2013,Belarus,0,$2.15
2014,Belarus,0,$2.15
2015,Belarus,0,$2.15
2016,Belarus,0,$2.15
2017,Belarus,0,$2.15
2018,Belarus,0,$2.15
2019,Belarus,0,$2.15
2020,Belarus,0,$2.15
1985,Belgium,0.19,$2.15
1988,Belgium,0.46,$2.15
1992,Belgium,0.78,$2.15
1995,Belgium,0.38,$2.15
1997,Belgium,0.28,$2.15
2000,Belgium,0.3,$2.15
2003,Belgium,0.15,$2.15
2004,Belgium,0.02,$2.15
2005,Belgium,0.14,$2.15
2006,Belgium,0.13,$2.15
2007,Belgium,0.09,$2.15
2008,Belgium,0.08,$2.15
2009,Belgium,0.06,$2.15
2010,Belgium,0.1,$2.15
2011,Belgium,0.09,$2.15
2012,Belgium,0.14,$2.15
2013,Belgium,0.13,$2.15
2014,Belgium,0.06,$2.15
2015,Belgium,0.06,$2.15
2016,Belgium,0.06,$2.15
2017,Belgium,0.12,$2.15
2018,Belgium,0.06,$2.15
2019,Belgium,0.06,$2.15
2020,Belgium,0.03,$2.15
1993,Belize,6.2,$2.15
1994,Belize,5.8,$2.15
1995,Belize,6.31,$2.15
1996,Belize,7.27,$2.15
1997,Belize,9.55,$2.15
1998,Belize,8.07,$2.15
1999,Belize,8.41,$2.15
2003,Benin,18.23,$2.15
2011,Benin,19.78,$2.15
2015,Benin,22.98,$2.15
2018,Benin,4.8,$2.15
2003,Bhutan,2.25,$2.15
2007,Bhutan,1.12,$2.15
2012,Bhutan,0.28,$2.15
2017,Bhutan,0.16,$2.15
2001,Bosnia and Herzegovina,0.13,$2.15
2004,Bosnia and Herzegovina,0.06,$2.15
2007,Bosnia and Herzegovina,0.02,$2.15
2011,Bosnia and Herzegovina,0.02,$2.15
1985,Botswana,17.41,$2.15
1993,Botswana,13.09,$2.15
2002,Botswana,11.06,$2.15
2009,Botswana,5.55,$2.15
2015,Botswana,4.12,$2.15
1981,Brazil,9.72,$2.15
1982,Brazil,9.86,$2.15
1983,Brazil,12.69,$2.15
1984,Brazil,12.09,$2.15
1985,Brazil,10.31,$2.15
1986,Brazil,4.64,$2.15
1987,Brazil,8.18,$2.15
1988,Brazil,9.6,$2.15
1989,Brazil,8.67,$2.15
1990,Brazil,9.88,$2.15
1992,Brazil,10.17,$2.15
1993,Brazil,9.57,$2.15
1995,Brazil,6.02,$2.15
1996,Brazil,6.85,$2.15
1997,Brazil,6.7,$2.15
1998,Brazil,5.88,$2.15
1999,Brazil,6.1,$2.15
2001,Brazil,5.21,$2.15
2002,Brazil,4.45,$2.15
2003,Brazil,4.89,$2.15
2004,Brazil,4.16,$2.15
2005,Brazil,3.65,$2.15
2006,Brazil,3.09,$2.15
2007,Brazil,3.15,$2.15
2008,Brazil,2.48,$2.15
2009,Brazil,2.4,$2.15
2011,Brazil,2.2,$2.15
2012,Brazil,1.69,$2.15
2013,Brazil,1.29,$2.15
2014,Brazil,1.12,$2.15
2015,Brazil,1.34,$2.15
2016,Brazil,1.75,$2.15
2017,Brazil,2,$2.15
2018,Brazil,2.01,$2.15
2019,Brazil,2.11,$2.15
2020,Brazil,0.67,$2.15
2021,Brazil,2.09,$2.15
1989,Bulgaria,0.05,$2.15
1992,Bulgaria,0,$2.15
1994,Bulgaria,0.23,$2.15
1995,Bulgaria,0.3,$2.15
1997,Bulgaria,0.15,$2.15
2001,Bulgaria,0.51,$2.15
2003,Bulgaria,0.18,$2.15
2006,Bulgaria,2.73,$2.15
2007,Bulgaria,0.13,$2.15
2007,Bulgaria,0.67,$2.15
2008,Bulgaria,0.41,$2.15
2009,Bulgaria,0.33,$2.15
2010,Bulgaria,0.68,$2.15
2011,Bulgaria,1,$2.15
2012,Bulgaria,0.84,$2.15
2013,Bulgaria,0.76,$2.15
2014,Bulgaria,0.54,$2.15
2015,Bulgaria,1.45,$2.15
2016,Bulgaria,0.76,$2.15
2017,Bulgaria,0.46,$2.15
2018,Bulgaria,0.25,$2.15
2019,Bulgaria,0.35,$2.15
2020,Bulgaria,0.09,$2.15
1994,Burkina Faso,46.7,$2.15
1998,Burkina Faso,41.07,$2.15
2003,Burkina Faso,22.07,$2.15
2009,Burkina Faso,18.2,$2.15
2014,Burkina Faso,9.51,$2.15
2018,Burkina Faso,8.36,$2.15
1992,Burundi,31.28,$2.15
1998,Burundi,39.95,$2.15
2006,Burundi,27.35,$2.15
2013,Burundi,25.25,$2.15
2001,Cabo Verde,5.73,$2.15
2007,Cabo Verde,2.5,$2.15
2015,Cabo Verde,0.97,$2.15
1996,Cameroon,16.77,$2.15
2001,Cameroon,6.87,$2.15
2007,Cameroon,9.28,$2.15
2014,Cameroon,8.32,$2.15
1971,Canada,1.63,$2.15
1975,Canada,0.73,$2.15
1981,Canada,0.36,$2.15
1987,Canada,0.07,$2.15
1991,Canada,0.12,$2.15
1994,Canada,0.16,$2.15
1996,Canada,0.16,$2.15
1997,Canada,0.17,$2.15
1998,Canada,0.22,$2.15
1999,Canada,0.19,$2.15
2000,Canada,0.15,$2.15
2001,Canada,0.14,$2.15
2002,Canada,0.13,$2.15
2003,Canada,0.13,$2.15
2004,Canada,0.15,$2.15
2005,Canada,0.15,$2.15
2006,Canada,0.15,$2.15
2007,Canada,0.09,$2.15
2008,Canada,0.11,$2.15
2009,Canada,0.15,$2.15
2010,Canada,0.11,$2.15
2011,Canada,0.08,$2.15
2012,Canada,0.09,$2.15
2013,Canada,0.15,$2.15
2014,Canada,0.1,$2.15
2015,Canada,0.12,$2.15
2016,Canada,0.12,$2.15
2017,Canada,0.09,$2.15
2018,Canada,0.06,$2.15
1992,Central African Republic,56.21,$2.15
2008,Central African Republic,29.74,$2.15
2003,Chad,23.16,$2.15
2011,Chad,14.32,$2.15
2018,Chad,8.42,$2.15
1987,Chile,5.2,$2.15
1990,Chile,3.57,$2.15
1992,Chile,2.02,$2.15
1994,Chile,2.36,$2.15
1996,Chile,1.59,$2.15
1998,Chile,1.67,$2.15
2000,Chile,2.21,$2.15
2003,Chile,2.11,$2.15
2006,Chile,0.66,$2.15
2009,Chile,0.64,$2.15
2011,Chile,0.31,$2.15
2013,Chile,0.2,$2.15
2015,Chile,0.18,$2.15
2017,Chile,0.18,$2.15
2020,Chile,0.45,$2.15
1981,China,54.25,$2.15
1981,China,18.89,$2.15
1981,China,47.14,$2.15
1984,China,39.66,$2.15
1984,China,12,$2.15
1984,China,33.52,$2.15
1987,China,31.42,$2.15
1987,China,6.99,$2.15
1987,China,25.5,$2.15
1990,China,34.88,$2.15
1990,China,10.17,$2.15
1990,China,28.35,$2.15
1993,China,31.34,$2.15
1993,China,6.35,$2.15
1993,China,24.07,$2.15
1996,China,21.49,$2.15
1996,China,3.98,$2.15
1996,China,15.9,$2.15
1999,China,22.67,$2.15
1999,China,3.26,$2.15
1999,China,15.9,$2.15
2002,China,19.14,$2.15
2002,China,1.51,$2.15
2002,China,12.36,$2.15
2005,China,10.2,$2.15
2005,China,0.89,$2.15
2005,China,6.24,$2.15
2008,China,9.13,$2.15
2008,China,0.49,$2.15
2008,China,5.11,$2.15
2010,China,6.81,$2.15
2010,China,0.28,$2.15
2010,China,3.59,$2.15
2011,China,4.76,$2.15
2011,China,0.2,$2.15
2011,China,2.46,$2.15
2012,China,3.88,$2.15
2012,China,0.17,$2.15
2012,China,1.95,$2.15
2013,China,0.94,$2.15
2013,China,0.19,$2.15
2013,China,0.54,$2.15
2014,China,0.7,$2.15
2014,China,0.19,$2.15
2014,China,0.42,$2.15
2015,China,0.36,$2.15
2015,China,0.12,$2.15
2015,China,0.23,$2.15
2016,China,0.3,$2.15
2016,China,0.06,$2.15
2016,China,0.17,$2.15
2017,China,0.26,$2.15
2017,China,0.05,$2.15
2017,China,0.14,$2.15
2018,China,0.19,$2.15
2018,China,0.02,$2.15
2018,China,0.09,$2.15
2019,China,0.05,$2.15
2019,China,0.01,$2.15
2019,China,0.03,$2.15
1980,Colombia,8.76,$2.15
1988,Colombia,5.65,$2.15
1989,Colombia,4.66,$2.15
1991,Colombia,4.67,$2.15
1992,Colombia,4.91,$2.15
1996,Colombia,9.54,$2.15
1999,Colombia,11.52,$2.15
2000,Colombia,11.3,$2.15
2001,Colombia,10.82,$2.15
2002,Colombia,5.12,$2.15
2003,Colombia,4.91,$2.15
2004,Colombia,3.96,$2.15
2005,Colombia,3.67,$2.15
2008,Colombia,4.4,$2.15
2009,Colombia,3.64,$2.15
2010,Colombia,3.03,$2.15
2011,Colombia,2.48,$2.15
2012,Colombia,2.49,$2.15
2013,Colombia,2.32,$2.15
2014,Colombia,2.08,$2.15
2015,Colombia,1.85,$2.15
2016,Colombia,1.88,$2.15
2017,Colombia,1.69,$2.15
2018,Colombia,1.79,$2.15
2019,Colombia,2.05,$2.15
2020,Colombia,4.53,$2.15
2021,Colombia,2.82,$2.15
2004,Comoros,4.22,$2.15
2014,Comoros,6.66,$2.15
2004,"Congo, Dem. Rep.",58.49,$2.15
2012,"Congo, Dem. Rep.",32.57,$2.15
2005,"Congo, Rep.",19.59,$2.15
2011,"Congo, Rep.",13.77,$2.15
1981,Costa Rica,11.34,$2.15
1986,Costa Rica,6.04,$2.15
1989,Costa Rica,5.88,$2.15
1990,Costa Rica,5.49,$2.15
1991,Costa Rica,5.95,$2.15
1992,Costa Rica,5.02,$2.15
1993,Costa Rica,4.71,$2.15
1994,Costa Rica,3.67,$2.15
1995,Costa Rica,3.87,$2.15
1996,Costa Rica,4.38,$2.15
1997,Costa Rica,3.21,$2.15
1998,Costa Rica,2.49,$2.15
1999,Costa Rica,3.14,$2.15
2000,Costa Rica,3.34,$2.15
2001,Costa Rica,2.3,$2.15
2002,Costa Rica,2.2,$2.15
2003,Costa Rica,2.06,$2.15
2004,Costa Rica,1.85,$2.15
2005,Costa Rica,1.19,$2.15
2006,Costa Rica,1.3,$2.15
2007,Costa Rica,0.73,$2.15
2008,Costa Rica,0.97,$2.15
2009,Costa Rica,1.14,$2.15
2010,Costa Rica,0.67,$2.15
2011,Costa Rica,0.66,$2.15
2012,Costa Rica,0.62,$2.15
2013,Costa Rica,0.58,$2.15
2014,Costa Rica,0.62,$2.15
2015,Costa Rica,0.63,$2.15
2016,Costa Rica,0.51,$2.15
2017,Costa Rica,0.39,$2.15
2018,Costa Rica,0.58,$2.15
2019,Costa Rica,0.42,$2.15
2020,Costa Rica,0.93,$2.15
2021,Costa Rica,0.42,$2.15
1988,Croatia,0.04,$2.15
1998,Croatia,0,$2.15
1999,Croatia,0.22,$2.15
2000,Croatia,0.06,$2.15
2001,Croatia,0.05,$2.15
2004,Croatia,0,$2.15
2008,Croatia,0,$2.15
2009,Croatia,0,$2.15
2009,Croatia,0.64,$2.15
2010,Croatia,0,$2.15
2010,Croatia,0.88,$2.15
2011,Croatia,0.35,$2.15
2012,Croatia,0.48,$2.15
2013,Croatia,0.44,$2.15
2014,Croatia,0.55,$2.15
2015,Croatia,0.35,$2.15
2016,Croatia,0.32,$2.15
2017,Croatia,0.32,$2.15
2018,Croatia,0.24,$2.15
2019,Croatia,0.16,$2.15
2020,Croatia,0.2,$2.15
2004,Cyprus,0.07,$2.15
2005,Cyprus,0.01,$2.15
2006,Cyprus,0,$2.15
2007,Cyprus,0.01,$2.15
2008,Cyprus,0.01,$2.15
2009,Cyprus,0.09,$2.15
2010,Cyprus,0.02,$2.15
2011,Cyprus,0.01,$2.15
2012,Cyprus,0,$2.15
2013,Cyprus,0.03,$2.15
2014,Cyprus,0.06,$2.15
2015,Cyprus,0,$2.15
2016,Cyprus,0.02,$2.15
2017,Cyprus,0.01,$2.15
2018,Cyprus,0.02,$2.15
2019,Cyprus,0.15,$2.15
2020,Cyprus,0.01,$2.15
1987,Denmark,0.49,$2.15
1992,Denmark,0.49,$2.15
1995,Denmark,0,$2.15
2000,Denmark,0,$2.15
2003,Denmark,0.23,$2.15
2004,Denmark,0.22,$2.15
2005,Denmark,0.15,$2.15
2006,Denmark,0.04,$2.15
2007,Denmark,0,$2.15
2008,Denmark,0.07,$2.15
2009,Denmark,0.13,$2.15
2010,Denmark,0,$2.15
2011,Denmark,0,$2.15
2012,Denmark,0,$2.15
2013,Denmark,0.27,$2.15
2014,Denmark,0.08,$2.15
2015,Denmark,0.14,$2.15
2016,Denmark,0.2,$2.15
2017,Denmark,0.09,$2.15
2018,Denmark,0.14,$2.15
2019,Denmark,0.21,$2.15
2020,Denmark,0.12,$2.15
1986,Dominican Republic,2.27,$2.15
1989,Dominican Republic,4.95,$2.15
1992,Dominican Republic,2.14,$2.15
1996,Dominican Republic,2.37,$2.15
1997,Dominican Republic,2.56,$2.15
2000,Dominican Republic,2.4,$2.15
2001,Dominican Republic,1.55,$2.15
2002,Dominican Republic,2.55,$2.15
2003,Dominican Republic,2.94,$2.15
2004,Dominican Republic,3.64,$2.15
2005,Dominican Republic,2.28,$2.15
2006,Dominican Republic,1.74,$2.15
2007,Dominican Republic,1.74,$2.15
2008,Dominican Republic,1.45,$2.15
2009,Dominican Republic,1.22,$2.15
2010,Dominican Republic,0.93,$2.15
2011,Dominican Republic,1.04,$2.15
2012,Dominican Republic,0.98,$2.15
2013,Dominican Republic,0.75,$2.15
2014,Dominican Republic,0.78,$2.15
2015,Dominican Republic,0.64,$2.15
2016,Dominican Republic,0.61,$2.15
2017,Dominican Republic,0.35,$2.15
2018,Dominican Republic,0.2,$2.15
2019,Dominican Republic,0.23,$2.15
2020,Dominican Republic,0.36,$2.15
2021,Dominican Republic,0.21,$2.15
1987,Ecuador,7.32,$2.15
1994,Ecuador,7.71,$2.15
1995,Ecuador,6.65,$2.15
1998,Ecuador,6.11,$2.15
1999,Ecuador,9.78,$2.15
2000,Ecuador,11.66,$2.15
2003,Ecuador,5.81,$2.15
2004,Ecuador,6.23,$2.15
2005,Ecuador,4.51,$2.15
2006,Ecuador,2.85,$2.15
2007,Ecuador,3.19,$2.15
2008,Ecuador,2.9,$2.15
2009,Ecuador,2.58,$2.15
2010,Ecuador,1.93,$2.15
2011,Ecuador,1.75,$2.15
2012,Ecuador,1.53,$2.15
2013,Ecuador,1.03,$2.15
2014,Ecuador,0.82,$2.15
2015,Ecuador,1.23,$2.15
2016,Ecuador,1.25,$2.15
2017,Ecuador,1.06,$2.15
2018,Ecuador,1.01,$2.15
2019,Ecuador,1.09,$2.15
2020,Ecuador,2.07,$2.15
2021,Ecuador,0.99,$2.15
1990,"Egypt, Arab Rep.",0.73,$2.15
1995,"Egypt, Arab Rep.",0.41,$2.15
1999,"Egypt, Arab Rep.",0.25,$2.15
2004,"Egypt, Arab Rep.",0.44,$2.15
2008,"Egypt, Arab Rep.",0.42,$2.15
2010,"Egypt, Arab Rep.",0.14,$2.15
2012,"Egypt, Arab Rep.",0.11,$2.15
2015,"Egypt, Arab Rep.",0.1,$2.15
2017,"Egypt, Arab Rep.",0.4,$2.15
2019,"Egypt, Arab Rep.",0.26,$2.15
1989,El Salvador,11.21,$2.15
1991,El Salvador,10.85,$2.15
1995,El Salvador,5.72,$2.15
1996,El Salvador,6.26,$2.15
1998,El Salvador,11.6,$2.15
1999,El Salvador,9.26,$2.15
2000,El Salvador,5.43,$2.15
2001,El Salvador,6.35,$2.15
2002,El Salvador,6.55,$2.15
2003,El Salvador,8.02,$2.15
2004,El Salvador,5.15,$2.15
2005,El Salvador,4.34,$2.15
2006,El Salvador,2.22,$2.15
2007,El Salvador,1.28,$2.15
2008,El Salvador,2.04,$2.15
2009,El Salvador,1.99,$2.15
2010,El Salvador,1.62,$2.15
2011,El Salvador,1.25,$2.15
2012,El Salvador,1.12,$2.15
2013,El Salvador,0.87,$2.15
2014,El Salvador,0.76,$2.15
2015,El Salvador,0.48,$2.15
2016,El Salvador,0.59,$2.15
2017,El Salvador,0.47,$2.15
2018,El Salvador,0.39,$2.15
2019,El Salvador,0.28,$2.15
2021,El Salvador,1.4,$2.15
1993,Estonia,0.49,$2.15
1995,Estonia,0.14,$2.15
1998,Estonia,0.03,$2.15
2000,Estonia,0.29,$2.15
2001,Estonia,0.3,$2.15
2002,Estonia,0.31,$2.15
2003,Estonia,0.22,$2.15
2003,Estonia,1.3,$2.15
2004,Estonia,0.13,$2.15
2004,Estonia,0.57,$2.15
2005,Estonia,0.33,$2.15
2006,Estonia,0.45,$2.15
2007,Estonia,0.26,$2.15
2008,Estonia,0.24,$2.15
2009,Estonia,0.26,$2.15
2010,Estonia,0.43,$2.15
2011,Estonia,0.57,$2.15
2012,Estonia,0.38,$2.15
2013,Estonia,0.63,$2.15
2014,Estonia,0.49,$2.15
2015,Estonia,0.41,$2.15
2016,Estonia,0.31,$2.15
2017,Estonia,0.18,$2.15
2018,Estonia,0.2,$2.15
2019,Estonia,0.33,$2.15
2020,Estonia,0.22,$2.15
1994,Eswatini,55.76,$2.15
2000,Eswatini,22.55,$2.15
2009,Eswatini,20.87,$2.15
2016,Eswatini,12.76,$2.15
1981,Ethiopia,25.8,$2.15
1995,Ethiopia,27.89,$2.15
1999,Ethiopia,17.47,$2.15
2004,Ethiopia,7.65,$2.15
2010,Ethiopia,8.15,$2.15
2015,Ethiopia,7.6,$2.15
1990,Europe & Central Asia,1.16,$2.15
1991,Europe & Central Asia,1.29,$2.15
1992,Europe & Central Asia,1.71,$2.15
1993,Europe & Central Asia,1.99,$2.15
1994,Europe & Central Asia,2.6,$2.15
1995,Europe & Central Asia,2.79,$2.15
1996,Europe & Central Asia,2.86,$2.15
1997,Europe & Central Asia,2.84,$2.15
1998,Europe & Central Asia,2.74,$2.15
1999,Europe & Central Asia,3.31,$2.15
2000,Europe & Central Asia,3.27,$2.15
2001,Europe & Central Asia,2.94,$2.15
2002,Europe & Central Asia,2.58,$2.15
2003,Europe & Central Asia,2.71,$2.15
2004,Europe & Central Asia,2.34,$2.15
2005,Europe & Central Asia,2.27,$2.15
2006,Europe & Central Asia,2.02,$2.15
2007,Europe & Central Asia,1.75,$2.15
2008,Europe & Central Asia,1.54,$2.15
2009,Europe & Central Asia,1.39,$2.15
2010,Europe & Central Asia,1.35,$2.15
2011,Europe & Central Asia,1.24,$2.15
2012,Europe & Central Asia,1.16,$2.15
2013,Europe & Central Asia,1,$2.15
2014,Europe & Central Asia,1.08,$2.15
2015,Europe & Central Asia,0.9,$2.15
2016,Europe & Central Asia,0.83,$2.15
2017,Europe & Central Asia,0.81,$2.15
2018,Europe & Central Asia,0.64,$2.15
2019,Europe & Central Asia,0.63,$2.15
2020,Europe & Central Asia,0.64,$2.15
2002,Fiji,0.29,$2.15
2008,Fiji,0.14,$2.15
2013,Fiji,0.06,$2.15
2019,Fiji,0.18,$2.15
1987,Finland,0,$2.15
1991,Finland,0,$2.15
1995,Finland,0,$2.15
2000,Finland,0,$2.15
2003,Finland,0.04,$2.15
