Year,Region,Poverty rate,Poverty Line
1996,Albania,0.53,$2.15
2002,Albania,1.09,$2.15
2005,Albania,0.59,$2.15
2008,Albania,0.2,$2.15
2012,Albania,0.62,$2.15
2014,Albania,1.02,$2.15
2015,Albania,0.12,$2.15
2016,Albania,0.14,$2.15
2016,Albania,5.8,$2.15
2017,Albania,0.39,$2.15
2017,Albania,5.26,$2.15
2018,Albania,0.05,$2.15
2018,Albania,3.89,$2.15
2019,Albania,0,$2.15
2020,Albania,0.02,$2.15
1988,Algeria,6.42,$2.15
1995,Algeria,5.77,$2.15
2011,Algeria,0.46,$2.15
2000,Angola,21.41,$2.15
2008,Angola,14.63,$2.15
2018,Angola,31.12,$2.15
1980,Argentina,0.31,$2.15
1986,Argentina,1.12,$2.15
1987,Argentina,1.19,$2.15
1991,Argentina,0.97,$2.15
1992,Argentina,1.67,$2.15
1993,Argentina,1.98,$2.15
1994,Argentina,1.91,$2.15
1995,Argentina,3.86,$2.15
1996,Argentina,4.22,$2.15
1997,Argentina,3.77,$2.15
1998,Argentina,3.97,$2.15
1999,Argentina,4.19,$2.15
2000,Argentina,4.99,$2.15
2001,Argentina,8.23,$2.15
2002,Argentina,12.45,$2.15
2003,Argentina,5.28,$2.15
2004,Argentina,3.81,$2.15
2005,Argentina,2.63,$2.15
2006,Argentina,2.12,$2.15
2007,Argentina,1.72,$2.15
2008,Argentina,1.59,$2.15
2009,Argentina,1.52,$2.15
2010,Argentina,0.75,$2.15
2011,Argentina,0.71,$2.15
2012,Argentina,0.64,$2.15
2013,Argentina,0.62,$2.15
2014,Argentina,0.61,$2.15
2016,Argentina,0.67,$2.15
2017,Argentina,0.42,$2.15
2018,Argentina,0.77,$2.15
2019,Argentina,0.78,$2.15
2020,Argentina,1.07,$2.15
2021,Argentina,0.96,$2.15
1996,Armenia,13.9,$2.15
1999,Armenia,11.9,$2.15
2001,Armenia,13.97,$2.15
2002,Armenia,9.97,$2.15
2003,Armenia,7.54,$2.15
2004,Armenia,5.32,$2.15
2005,Armenia,2.63,$2.15
2006,Armenia,2,$2.15
2007,Armenia,1.54,$2.15
2008,Armenia,0.88,$2.15
2009,Armenia,1.25,$2.15
2010,Armenia,0.95,$2.15
2011,Armenia,1.19,$2.15
2012,Armenia,0.83,$2.15
2013,Armenia,1.74,$2.15
2014,Armenia,1.44,$2.15
2015,Armenia,1.15,$2.15
2016,Armenia,1.11,$2.15
2017,Armenia,0.79,$2.15
2018,Armenia,1.34,$2.15
2019,Armenia,1.03,$2.15
2020,Armenia,0.35,$2.15
2021,Armenia,0.52,$2.15
1981,Australia,0.99,$2.15
1985,Australia,1,$2.15
1989,Australia,0.74,$2.15
1995,Australia,0.75,$2.15
2001,Australia,0.75,$2.15
2003,Australia,1,$2.15
2004,Australia,0.71,$2.15
2008,Australia,0.36,$2.15
2010,Australia,0.35,$2.15
2014,Australia,0.5,$2.15
2016,Australia,0.5,$2.15
2018,Australia,0.5,$2.15
1994,Austria,0.23,$2.15
1995,Austria,0,$2.15
1996,Austria,0,$2.15
1997,Austria,0.25,$2.15
1998,Austria,0.24,$2.15
1999,Austria,0.23,$2.15
2000,Austria,0,$2.15
2003,Austria,0.33,$2.15
2004,Austria,0.08,$2.15
2005,Austria,0.15,$2.15
2006,Austria,0.09,$2.15
2007,Austria,0.37,$2.15
2008,Austria,0.47,$2.15
2009,Austria,0.66,$2.15
2010,Austria,0.49,$2.15
2011,Austria,0.42,$2.15
2012,Austria,0.62,$2.15
2013,Austria,0.34,$2.15
2014,Austria,0.22,$2.15
2015,Austria,0.68,$2.15
2016,Austria,0.66,$2.15
2017,Austria,0.32,$2.15
2018,Austria,0.57,$2.15
2019,Austria,0.64,$2.15
2020,Austria,0.68,$2.15
1995,Azerbaijan,12.42,$2.15
2001,Azerbaijan,6.16,$2.15
2002,Azerbaijan,0.08,$2.15
2003,Azerbaijan,0.05,$2.15
2004,Azerbaijan,0,$2.15
2005,Azerbaijan,0,$2.15
1983,Bangladesh,37.28,$2.15
1985,Bangladesh,32.69,$2.15
1988,Bangladesh,41.74,$2.15
1991,Bangladesh,41.94,$2.15
1995,Bangladesh,33.67,$2.15
2000,Bangladesh,33.32,$2.15
2005,Bangladesh,23.97,$2.15
2010,Bangladesh,18.22,$2.15
2016,Bangladesh,13.47,$2.15
1993,Belarus,0.41,$2.15
1995,Belarus,1.25,$2.15
1998,Belarus,21.76,$2.15
1999,Belarus,19.19,$2.15
2000,Belarus,13.64,$2.15
2001,Belarus,6.62,$2.15
2002,Belarus,4.39,$2.15
2003,Belarus,3.51,$2.15
2004,Belarus,1.3,$2.15
2005,Belarus,0.89,$2.15
2006,Belarus,0.4,$2.15
2007,Belarus,0.22,$2.15
2008,Belarus,0.17,$2.15
2009,Belarus,0.14,$2.15
2010,Belarus,0.03,$2.15
2011,Belarus,0.01,$2.15
2012,Belarus,0.01,$2.15
2013,Belarus,0,$2.15
2014,Belarus,0,$2.15
2015,Belarus,0,$2.15
2016,Belarus,0,$2.15
2017,Belarus,0,$2.15
2018,Belarus,0,$2.15
2019,Belarus,0,$2.15
2020,Belarus,0,$2.15
1985,Belgium,0.24,$2.15
1988,Belgium,0.48,$2.15
1992,Belgium,0.98,$2.15
1995,Belgium,0.41,$2.15
1997,Belgium,0.49,$2.15
2000,Belgium,0.31,$2.15
2003,Belgium,0.29,$2.15
2004,Belgium,0.05,$2.15
2005,Belgium,0.19,$2.15
2006,Belgium,0.17,$2.15
2007,Belgium,0.15,$2.15
2008,Belgium,0.12,$2.15
2009,Belgium,0.11,$2.15
2010,Belgium,0.14,$2.15
2011,Belgium,0.17,$2.15
2012,Belgium,0.16,$2.15
2013,Belgium,0.14,$2.15
2014,Belgium,0.08,$2.15
2015,Belgium,0.07,$2.15
2016,Belgium,0.06,$2.15
2017,Belgium,0.15,$2.15
2018,Belgium,0.08,$2.15
2019,Belgium,0.08,$2.15
2020,Belgium,0.05,$2.15
1993,Belize,13.55,$2.15
1994,Belize,14.79,$2.15
1995,Belize,15.27,$2.15
1996,Belize,18.2,$2.15
1997,Belize,20.9,$2.15
1998,Belize,20.73,$2.15
1999,Belize,19.56,$2.15
2003,Benin,53.09,$2.15
2011,Benin,54.26,$2.15
2015,Benin,50.71,$2.15
2018,Benin,19.9,$2.15
2003,Bhutan,13.36,$2.15
2007,Bhutan,5.85,$2.15
2012,Bhutan,1.73,$2.15
2017,Bhutan,0.95,$2.15
2001,Bosnia and Herzegovina,0.33,$2.15
2004,Bosnia and Herzegovina,0.18,$2.15
2007,Bosnia and Herzegovina,0.07,$2.15
2011,Bosnia and Herzegovina,0.07,$2.15
1985,Botswana,41.79,$2.15
1993,Botswana,34.11,$2.15
2002,Botswana,29.14,$2.15
2009,Botswana,17.69,$2.15
2015,Botswana,15.43,$2.15
1981,Brazil,23.95,$2.15
1982,Brazil,24.42,$2.15
1983,Brazil,30.58,$2.15
1984,Brazil,29.92,$2.15
1985,Brazil,25.75,$2.15
1986,Brazil,12.27,$2.15
1987,Brazil,19.95,$2.15
1988,Brazil,22.42,$2.15
1989,Brazil,20.4,$2.15
1990,Brazil,23.99,$2.15
1992,Brazil,23.29,$2.15
1993,Brazil,22.1,$2.15
1995,Brazil,14.74,$2.15
1996,Brazil,16,$2.15
1997,Brazil,15.98,$2.15
1998,Brazil,14.34,$2.15
1999,Brazil,14.97,$2.15
2001,Brazil,13.04,$2.15
2002,Brazil,11.74,$2.15
2003,Brazil,12.61,$2.15
2004,Brazil,11.06,$2.15
2005,Brazil,9.96,$2.15
2006,Brazil,8.26,$2.15
2007,Brazil,7.87,$2.15
2008,Brazil,6.51,$2.15
2009,Brazil,6.12,$2.15
2011,Brazil,5.32,$2.15
2012,Brazil,4.49,$2.15
2013,Brazil,3.73,$2.15
2014,Brazil,3.33,$2.15
2015,Brazil,3.88,$2.15
2016,Brazil,4.71,$2.15
2017,Brazil,5.27,$2.15
2018,Brazil,5.3,$2.15
2019,Brazil,5.39,$2.15
2020,Brazil,1.95,$2.15
2021,Brazil,5.82,$2.15
1989,Bulgaria,0.05,$2.15
1992,Bulgaria,0,$2.15
1994,Bulgaria,0.26,$2.15
1995,Bulgaria,1.21,$2.15
1997,Bulgaria,0.54,$2.15
2001,Bulgaria,2.57,$2.15
2003,Bulgaria,0.93,$2.15
2006,Bulgaria,5.83,$2.15
2007,Bulgaria,0.5,$2.15
2007,Bulgaria,1.79,$2.15
2008,Bulgaria,1.25,$2.15
2009,Bulgaria,1.31,$2.15
2010,Bulgaria,2.01,$2.15
2011,Bulgaria,2.46,$2.15
2012,Bulgaria,2.31,$2.15
2013,Bulgaria,1.78,$2.15
2014,Bulgaria,1.66,$2.15
2015,Bulgaria,3.42,$2.15
2016,Bulgaria,1.97,$2.15
2017,Bulgaria,1.37,$2.15
2018,Bulgaria,0.87,$2.15
2019,Bulgaria,0.92,$2.15
2020,Bulgaria,0.25,$2.15
1994,Burkina Faso,82.08,$2.15
1998,Burkina Faso,79.92,$2.15
2003,Burkina Faso,54.7,$2.15
2009,Burkina Faso,52.65,$2.15
2014,Burkina Faso,39.6,$2.15
2018,Burkina Faso,30.54,$2.15
1992,Burundi,75.06,$2.15
1998,Burundi,79.44,$2.15
2006,Burundi,71.84,$2.15
2013,Burundi,65.13,$2.15
2001,Cabo Verde,19.57,$2.15
2007,Cabo Verde,10.57,$2.15
2015,Cabo Verde,4.56,$2.15
1996,Cameroon,50.37,$2.15
2001,Cameroon,25.69,$2.15
2007,Cameroon,31.42,$2.15
2014,Cameroon,25.66,$2.15
1971,Canada,2.25,$2.15
1975,Canada,1,$2.15
1981,Canada,0.49,$2.15
1987,Canada,0.22,$2.15
1991,Canada,0.22,$2.15
1994,Canada,0.25,$2.15
1996,Canada,0.25,$2.15
1997,Canada,0.25,$2.15
1998,Canada,0.5,$2.15
1999,Canada,0.49,$2.15
2000,Canada,0.25,$2.15
2001,Canada,0.25,$2.15
2002,Canada,0.24,$2.15
2003,Canada,0.24,$2.15
2004,Canada,0.24,$2.15
2005,Canada,0.24,$2.15
2006,Canada,0.25,$2.15
2007,Canada,0.25,$2.15
2008,Canada,0.25,$2.15
2009,Canada,0.24,$2.15
2010,Canada,0.25,$2.15
2011,Canada,0.23,$2.15
2012,Canada,0.25,$2.15
2013,Canada,0.5,$2.15
2014,Canada,0.24,$2.15
2015,Canada,0.25,$2.15
2016,Canada,0.25,$2.15
2017,Canada,0.25,$2.15
2018,Canada,0.25,$2.15
1992,Central African Republic,82.19,$2.15
2008,Central African Republic,61.88,$2.15
2003,Chad,57.79,$2.15
2011,Chad,36.62,$2.15
2018,Chad,30.88,$2.15
1987,Chile,15.38,$2.15
1990,Chile,10.67,$2.15
1992,Chile,6.7,$2.15
1994,Chile,6.8,$2.15
1996,Chile,4.66,$2.15
1998,Chile,4.59,$2.15
2000,Chile,5.83,$2.15
2003,Chile,5.29,$2.15
2006,Chile,2.09,$2.15
2009,Chile,1.72,$2.15
2011,Chile,0.93,$2.15
2013,Chile,0.53,$2.15
2015,Chile,0.43,$2.15
2017,Chile,0.34,$2.15
2020,Chile,0.75,$2.15
1981,China,96.87,$2.15
1981,China,70.78,$2.15
1981,China,91.62,$2.15
1984,China,88.67,$2.15
1984,China,54.86,$2.15
1984,China,81.16,$2.15
1987,China,78.38,$2.15
1987,China,33.54,$2.15
1987,China,67.5,$2.15
1990,China,83.7,$2.15
1990,China,39.31,$2.15
1990,China,71.96,$2.15
1993,China,77.35,$2.15
1993,China,27.03,$2.15
1993,China,62.71,$2.15
1996,China,61.92,$2.15
1996,China,18.76,$2.15
1996,China,48.14,$2.15
1999,China,62.65,$2.15
1999,China,14.8,$2.15
1999,China,45.97,$2.15
2002,China,54.85,$2.15
2002,China,7.1,$2.15
2002,China,36.5,$2.15
2005,China,35.63,$2.15
2005,China,3.85,$2.15
2005,China,22.12,$2.15
2008,China,31.94,$2.15
2008,China,1.9,$2.15
2008,China,17.96,$2.15
2010,China,26.35,$2.15
2010,China,1.07,$2.15
2010,China,13.9,$2.15
2011,China,19.88,$2.15
2011,China,0.77,$2.15
2011,China,10.23,$2.15
2012,China,16.97,$2.15
2012,China,0.59,$2.15
2012,China,8.49,$2.15
2013,China,5.32,$2.15
2013,China,0.72,$2.15
2013,China,2.88,$2.15
2014,China,3.74,$2.15
2014,China,0.68,$2.15
2014,China,2.08,$2.15
2015,China,2.09,$2.15
2015,China,0.43,$2.15
2015,China,1.17,$2.15
2016,China,1.61,$2.15
2016,China,0.24,$2.15
2016,China,0.83,$2.15
2017,China,1.32,$2.15
2017,China,0.21,$2.15
2017,China,0.68,$2.15
2018,China,0.88,$2.15
2018,China,0.11,$2.15
2018,China,0.43,$2.15
2019,China,0.26,$2.15
2019,China,0.06,$2.15
2019,China,0.14,$2.15
1980,Colombia,20.76,$2.15
1988,Colombia,15.24,$2.15
1989,Colombia,14.17,$2.15
1991,Colombia,13.41,$2.15
1992,Colombia,9.56,$2.15
1996,Colombia,17.57,$2.15
1999,Colombia,21.35,$2.15
2000,Colombia,17.5,$2.15
2001,Colombia,21,$2.15
2002,Colombia,14.18,$2.15
2003,Colombia,13.01,$2.15
2004,Colombia,12.01,$2.15
2005,Colombia,10.74,$2.15
2008,Colombia,11.03,$2.15
2009,Colombia,9.6,$2.15
2010,Colombia,8.28,$2.15
2011,Colombia,6.83,$2.15
2012,Colombia,6.72,$2.15
2013,Colombia,6.11,$2.15
2014,Colombia,5.43,$2.15
2015,Colombia,4.93,$2.15
2016,Colombia,4.91,$2.15
2017,Colombia,4.34,$2.15
2018,Colombia,4.5,$2.15
2019,Colombia,5.28,$2.15
2020,Colombia,9.36,$2.15
2021,Colombia,6.61,$2.15
2004,Comoros,14.63,$2.15
2014,Comoros,18.64,$2.15
2004,"Congo, Dem. Rep.",91.47,$2.15
2012,"Congo, Dem. Rep.",69.69,$2.15
2005,"Congo, Rep.",49.55,$2.15
2011,"Congo, Rep.",35.36,$2.15
1981,Costa Rica,25.86,$2.15
1986,Costa Rica,13.92,$2.15
1989,Costa Rica,10.55,$2.15
1990,Costa Rica,10.38,$2.15
1991,Costa Rica,12.41,$2.15
1992,Costa Rica,9.94,$2.15
1993,Costa Rica,8.53,$2.15
1994,Costa Rica,7.04,$2.15
1995,Costa Rica,7.15,$2.15
1996,Costa Rica,8.22,$2.15
1997,Costa Rica,6.72,$2.15
1998,Costa Rica,5.22,$2.15
1999,Costa Rica,6.82,$2.15
2000,Costa Rica,6.93,$2.15
2001,Costa Rica,5.09,$2.15
2002,Costa Rica,4.68,$2.15
2003,Costa Rica,4.72,$2.15
2004,Costa Rica,4.66,$2.15
2005,Costa Rica,3.33,$2.15
2006,Costa Rica,3.34,$2.15
2007,Costa Rica,1.82,$2.15
2008,Costa Rica,2.42,$2.15
2009,Costa Rica,2.48,$2.15
2010,Costa Rica,1.49,$2.15
2011,Costa Rica,1.75,$2.15
2012,Costa Rica,1.67,$2.15
2013,Costa Rica,1.64,$2.15
2014,Costa Rica,1.51,$2.15
2015,Costa Rica,1.57,$2.15
2016,Costa Rica,1.34,$2.15
2017,Costa Rica,1.17,$2.15
2018,Costa Rica,1.51,$2.15
2019,Costa Rica,1.06,$2.15
2020,Costa Rica,2.29,$2.15
2021,Costa Rica,1.23,$2.15
1988,Croatia,0.04,$2.15
1998,Croatia,0,$2.15
1999,Croatia,0.22,$2.15
2000,Croatia,0.09,$2.15
2001,Croatia,0.08,$2.15
2004,Croatia,0,$2.15
2008,Croatia,0,$2.15
2009,Croatia,0.03,$2.15
2009,Croatia,0.86,$2.15
2010,Croatia,0,$2.15
2010,Croatia,1.21,$2.15
2011,Croatia,0.63,$2.15
2012,Croatia,0.79,$2.15
2013,Croatia,0.73,$2.15
2014,Croatia,0.98,$2.15
2015,Croatia,0.59,$2.15
2016,Croatia,0.62,$2.15
2017,Croatia,0.52,$2.15
2018,Croatia,0.44,$2.15
2019,Croatia,0.26,$2.15
2020,Croatia,0.31,$2.15
2004,Cyprus,0.09,$2.15
2005,Cyprus,0.01,$2.15
2006,Cyprus,0.02,$2.15
2007,Cyprus,0.03,$2.15
2008,Cyprus,0.01,$2.15
2009,Cyprus,0.11,$2.15
2010,Cyprus,0.04,$2.15
2011,Cyprus,0.01,$2.15
2012,Cyprus,0,$2.15
2013,Cyprus,0.1,$2.15
2014,Cyprus,0.08,$2.15
2015,Cyprus,0.03,$2.15
2016,Cyprus,0.04,$2.15
2017,Cyprus,0.03,$2.15
2018,Cyprus,0.02,$2.15
2019,Cyprus,0.15,$2.15
2020,Cyprus,0.01,$2.15
1987,Denmark,0.5,$2.15
1992,Denmark,0.49,$2.15
1995,Denmark,0,$2.15
2000,Denmark,0,$2.15
2003,Denmark,0.34,$2.15
2004,Denmark,0.31,$2.15
2005,Denmark,0.25,$2.15
2006,Denmark,0.14,$2.15
2007,Denmark,0.01,$2.15
2008,Denmark,0.11,$2.15
2009,Denmark,0.49,$2.15
2010,Denmark,0.06,$2.15
2011,Denmark,0,$2.15
2012,Denmark,0,$2.15
2013,Denmark,0.31,$2.15
2014,Denmark,0.2,$2.15
2015,Denmark,0.18,$2.15
2016,Denmark,0.28,$2.15
2017,Denmark,0.14,$2.15
2018,Denmark,0.17,$2.15
2019,Denmark,0.25,$2.15
2020,Denmark,0.16,$2.15
1986,Dominican Republic,6.87,$2.15
1989,Dominican Republic,17.49,$2.15
1992,Dominican Republic,7.63,$2.15
1996,Dominican Republic,6.45,$2.15
1997,Dominican Republic,6.87,$2.15
2000,Dominican Republic,6.71,$2.15
2001,Dominican Republic,5.14,$2.15
2002,Dominican Republic,7.61,$2.15
2003,Dominican Republic,8.7,$2.15
2004,Dominican Republic,11.61,$2.15
2005,Dominican Republic,7.41,$2.15
2006,Dominican Republic,6.26,$2.15
2007,Dominican Republic,6.07,$2.15
2008,Dominican Republic,5.45,$2.15
2009,Dominican Republic,4.68,$2.15
2010,Dominican Republic,3.87,$2.15
2011,Dominican Republic,4.06,$2.15
2012,Dominican Republic,3.85,$2.15
2013,Dominican Republic,2.97,$2.15
2014,Dominican Republic,3.36,$2.15
2015,Dominican Republic,2.53,$2.15
2016,Dominican Republic,2.03,$2.15
2017,Dominican Republic,1,$2.15
2018,Dominican Republic,0.84,$2.15
2019,Dominican Republic,0.83,$2.15
2020,Dominican Republic,0.96,$2.15
2021,Dominican Republic,0.85,$2.15
1987,Ecuador,17.66,$2.15
1994,Ecuador,17.32,$2.15
1995,Ecuador,13.81,$2.15
1998,Ecuador,15.99,$2.15
1999,Ecuador,21.84,$2.15
2000,Ecuador,28.43,$2.15
2003,Ecuador,14.85,$2.15
2004,Ecuador,15.02,$2.15
2005,Ecuador,11.8,$2.15
2006,Ecuador,8.15,$2.15
2007,Ecuador,8.52,$2.15
2008,Ecuador,7.51,$2.15
2009,Ecuador,7.31,$2.15
2010,Ecuador,5.68,$2.15
2011,Ecuador,4.67,$2.15
2012,Ecuador,4.46,$2.15
2013,Ecuador,3.24,$2.15
2014,Ecuador,2.64,$2.15
2015,Ecuador,3.44,$2.15
2016,Ecuador,3.58,$2.15
2017,Ecuador,3.21,$2.15
2018,Ecuador,3.31,$2.15
2019,Ecuador,3.58,$2.15
2020,Ecuador,6.52,$2.15
2021,Ecuador,3.58,$2.15
1990,"Egypt, Arab Rep.",5.29,$2.15
1995,"Egypt, Arab Rep.",3.04,$2.15
1999,"Egypt, Arab Rep.",1.38,$2.15
2004,"Egypt, Arab Rep.",3.11,$2.15
2008,"Egypt, Arab Rep.",2.87,$2.15
2010,"Egypt, Arab Rep.",1.04,$2.15
2012,"Egypt, Arab Rep.",0.89,$2.15
2015,"Egypt, Arab Rep.",0.91,$2.15
2017,"Egypt, Arab Rep.",2.5,$2.15
2019,"Egypt, Arab Rep.",1.47,$2.15
1989,El Salvador,18.9,$2.15
1991,El Salvador,22.06,$2.15
1995,El Salvador,13.26,$2.15
1996,El Salvador,15.26,$2.15
1998,El Salvador,21.03,$2.15
1999,El Salvador,17.25,$2.15
2000,El Salvador,12.94,$2.15
2001,El Salvador,14.1,$2.15
2002,El Salvador,14.73,$2.15
2003,El Salvador,15.81,$2.15
2004,El Salvador,11.49,$2.15
2005,El Salvador,11.28,$2.15
2006,El Salvador,7.65,$2.15
2007,El Salvador,5.07,$2.15
2008,El Salvador,7.72,$2.15
2009,El Salvador,7.42,$2.15
2010,El Salvador,6.35,$2.15
2011,El Salvador,5.34,$2.15
2012,El Salvador,4.64,$2.15
2013,El Salvador,3.62,$2.15
2014,El Salvador,3.44,$2.15
2015,El Salvador,2.31,$2.15
2016,El Salvador,2.63,$2.15
2017,El Salvador,2.16,$2.15
2018,El Salvador,1.84,$2.15
2019,El Salvador,1.4,$2.15
2021,El Salvador,3.59,$2.15
1993,Estonia,1.35,$2.15
1995,Estonia,0.59,$2.15
1998,Estonia,0.16,$2.15
2000,Estonia,1.43,$2.15
2001,Estonia,1.22,$2.15
2002,Estonia,1.37,$2.15
2003,Estonia,1.18,$2.15
2003,Estonia,2.51,$2.15
2004,Estonia,0.55,$2.15
2004,Estonia,1.08,$2.15
2005,Estonia,0.81,$2.15
2006,Estonia,0.82,$2.15
2007,Estonia,0.43,$2.15
2008,Estonia,0.39,$2.15
2009,Estonia,0.56,$2.15
2010,Estonia,0.79,$2.15
2011,Estonia,0.98,$2.15
2012,Estonia,0.74,$2.15
2013,Estonia,0.86,$2.15
2014,Estonia,0.83,$2.15
2015,Estonia,0.6,$2.15
2016,Estonia,0.47,$2.15
2017,Estonia,0.27,$2.15
2018,Estonia,0.25,$2.15
2019,Estonia,0.56,$2.15
2020,Estonia,0.35,$2.15
1994,Eswatini,85.45,$2.15
2000,Eswatini,56.13,$2.15
2009,Eswatini,49.33,$2.15
2016,Eswatini,36.08,$2.15
1981,Ethiopia,71.43,$2.15
1995,Ethiopia,69.21,$2.15
1999,Ethiopia,58.03,$2.15
2004,Ethiopia,34.58,$2.15
2010,Ethiopia,30.75,$2.15
2015,Ethiopia,26.98,$2.15
1990,Europe & Central Asia,3.15,$2.15
1991,Europe & Central Asia,3.69,$2.15
1992,Europe & Central Asia,5.23,$2.15
1993,Europe & Central Asia,6.21,$2.15
1994,Europe & Central Asia,8.08,$2.15
1995,Europe & Central Asia,8.16,$2.15
1996,Europe & Central Asia,8.26,$2.15
1997,Europe & Central Asia,7.74,$2.15
1998,Europe & Central Asia,7.65,$2.15
1999,Europe & Central Asia,9.79,$2.15
2000,Europe & Central Asia,9.09,$2.15
2001,Europe & Central Asia,8.3,$2.15
2002,Europe & Central Asia,7.38,$2.15
2003,Europe & Central Asia,7.22,$2.15
2004,Europe & Central Asia,6.26,$2.15
2005,Europe & Central Asia,6.19,$2.15
2006,Europe & Central Asia,5.49,$2.15
2007,Europe & Central Asia,4.9,$2.15
2008,Europe & Central Asia,4.34,$2.15
2009,Europe & Central Asia,4.17,$2.15
2010,Europe & Central Asia,4.1,$2.15
2011,Europe & Central Asia,3.8,$2.15
2012,Europe & Central Asia,3.63,$2.15
2013,Europe & Central Asia,3.3,$2.15
2014,Europe & Central Asia,3.44,$2.15
2015,Europe & Central Asia,3.08,$2.15
2016,Europe & Central Asia,2.76,$2.15
2017,Europe & Central Asia,2.73,$2.15
2018,Europe & Central Asia,2.3,$2.15
2019,Europe & Central Asia,2.26,$2.15
2020,Europe & Central Asia,2.29,$2.15
2002,Fiji,1.68,$2.15
2008,Fiji,1.03,$2.15
2013,Fiji,0.36,$2.15
2019,Fiji,1.32,$2.15
1987,Finland,0,$2.15
1991,Finland,0,$2.15
1995,Finland,0,$2.15
2000,Finland,0,$2.15
2003,Finland,0.05,$2.15
2004,Finland,0.04,$2.15
